"","votereg","age","female","nohighschool","collegeorhigher","nonwhite","married","employed","republican","democrat","independent","partisanship","impeach"
"1",1,61,0,0,0,1,1,1,1,0,0,"Republican",0
"2",1,68,0,0,1,0,1,0,0,1,0,"Democrat",1
"3",1,51,1,0,1,0,1,0,0,1,0,"Democrat",1
"4",1,74,1,0,1,0,0,1,0,0,1,"Independent",1
"5",1,48,0,0,1,0,1,1,1,0,0,"Republican",0
"6",1,46,1,0,1,1,0,0,0,0,1,"Independent",1
"7",1,63,1,0,1,0,0,0,0,1,0,"Democrat",1
"8",1,59,0,0,1,0,1,1,1,0,0,"Republican",0
"9",1,69,1,0,1,0,0,0,1,0,0,"Republican",0
"10",1,32,0,0,1,1,0,1,0,1,0,"Democrat",0
"11",1,56,1,0,1,0,0,1,0,0,1,"Independent",1
"12",1,35,0,0,1,0,1,1,0,1,0,"Democrat",1
"13",1,41,1,0,1,0,1,1,0,1,0,"Democrat",1
"14",1,49,1,0,1,1,0,1,0,0,1,"Independent",1
"15",1,47,1,0,1,0,0,1,1,0,0,"Republican",0
"16",1,39,0,0,1,0,1,1,0,0,1,"Independent",1
"17",1,30,0,0,1,0,1,1,0,0,1,"Independent",1
"18",1,32,1,0,1,0,1,1,1,0,0,"Republican",0
"19",1,65,1,0,1,0,1,0,0,1,0,"Democrat",1
"21",1,39,0,0,1,0,0,0,0,0,1,"Independent",1
"22",1,62,0,0,1,0,0,0,1,0,0,"Republican",0
"23",0,65,1,1,0,0,1,0,0,1,0,"Democrat",0
"24",1,33,1,0,1,1,1,1,0,1,0,"Democrat",0
"25",1,37,1,0,1,0,0,1,0,1,0,"Democrat",1
"26",1,51,1,0,1,0,1,0,1,0,0,"Republican",0
"27",1,82,0,0,1,0,1,0,1,0,0,"Republican",0
"28",1,56,0,0,0,0,1,0,1,0,0,"Republican",0
"29",1,48,1,0,1,0,1,1,0,1,0,"Democrat",1
"30",1,79,1,0,1,0,0,0,0,1,0,"Democrat",1
"31",0,57,1,0,0,1,0,0,0,0,1,"Independent",0
"32",1,72,1,0,1,0,1,0,1,0,0,"Republican",0
"33",1,74,1,0,1,0,1,0,0,1,0,"Democrat",1
"34",1,52,0,0,1,0,1,1,1,0,0,"Republican",0
"35",1,79,1,0,1,0,1,0,0,0,1,"Independent",0
"36",1,39,1,0,0,0,1,1,0,1,0,"Democrat",1
"37",1,36,0,0,1,0,1,1,1,0,0,"Republican",0
"38",1,54,0,0,1,0,1,1,0,0,1,"Independent",0
"39",1,29,0,0,1,0,1,1,0,1,0,"Democrat",1
"40",1,64,1,0,1,0,1,0,1,0,0,"Republican",0
"41",1,27,1,0,1,0,1,0,1,0,0,"Republican",0
"42",1,80,0,0,1,0,1,0,1,0,0,"Republican",0
"43",1,34,1,0,1,0,1,1,0,0,1,"Independent",0
"44",1,40,1,0,1,0,1,1,0,1,0,"Democrat",1
"45",1,56,1,0,1,0,1,1,0,0,1,"Independent",0
"46",1,55,1,0,1,0,1,1,0,1,0,"Democrat",1
"47",1,62,1,0,1,0,0,1,0,1,0,"Democrat",1
"48",1,62,0,0,1,0,1,1,0,0,1,"Independent",0
"49",1,42,1,0,1,0,0,1,0,0,1,"Independent",0
"50",1,40,0,0,1,0,1,1,1,0,0,"Republican",0
"51",1,64,1,0,1,0,1,1,0,1,0,"Democrat",1
"52",1,57,1,0,1,1,0,0,0,1,0,"Democrat",1
"53",1,64,0,0,1,0,0,0,0,0,1,"Independent",1
"54",1,43,0,0,1,0,1,1,0,1,0,"Democrat",1
"55",1,39,0,0,0,0,1,1,0,1,0,"Democrat",1
"56",1,47,1,0,1,0,0,0,0,0,1,"Independent",0
"57",1,61,0,0,1,1,1,0,0,0,1,"Independent",1
"58",1,34,1,0,1,0,1,1,0,1,0,"Democrat",1
"59",1,28,1,0,1,0,1,0,0,0,1,"Independent",0
"60",1,85,0,0,1,0,1,0,0,0,1,"Independent",0
"62",0,53,0,0,1,1,0,0,0,1,0,"Democrat",1
"63",1,80,0,0,1,0,1,0,1,0,0,"Republican",0
"64",1,47,1,0,1,1,1,1,0,0,1,"Independent",1
"65",1,32,1,0,1,1,0,0,0,1,0,"Democrat",1
"67",1,52,0,0,1,0,1,1,0,0,1,"Independent",0
"68",1,67,1,0,1,0,1,0,1,0,0,"Republican",0
"69",1,68,0,0,1,0,1,0,0,1,0,"Democrat",1
"71",1,40,1,0,0,0,0,0,0,0,1,"Independent",0
"72",1,46,0,0,1,0,1,1,0,1,0,"Democrat",0
"73",1,79,0,0,1,0,1,0,0,1,0,"Democrat",1
"74",1,63,0,0,1,0,1,1,1,0,0,"Republican",0
"75",1,74,0,0,1,1,1,0,1,0,0,"Republican",0
"77",1,61,0,1,0,1,0,1,0,1,0,"Democrat",0
"78",1,64,0,0,1,0,1,0,1,0,0,"Republican",0
"79",1,39,1,0,1,0,1,1,0,0,1,"Independent",1
"80",1,55,0,0,1,1,1,1,0,0,1,"Independent",1
"81",1,40,1,0,1,0,0,1,0,1,0,"Democrat",1
"82",1,50,0,0,1,1,1,1,0,0,1,"Independent",1
"83",1,50,1,0,0,1,0,0,0,1,0,"Democrat",1
