"","year","state","rep","dem","other"
"1",1960,"alabama",237981,318303,8194
"2",1960,"arizona",221241,176781,469
"3",1960,"arkansas",184508,215049,28952
"4",1960,"california",3259722,3224099,22757
"5",1960,"colorado",402242,330629,3365
"6",1960,"connecticut",565813,657055,15
"7",1960,"delaware",96373,99590,720
"8",1960,"florida",795476,748700,0
"9",1960,"georgia",274472,458638,0
"10",1960,"idaho",161597,138853,0
"11",1960,"illinois",2368988,2377846,10575
"12",1960,"indiana",1175120,952358,7882
"13",1960,"iowa",722381,550565,864
"14",1960,"kansas",561474,363213,4138
"15",1960,"kentucky",602607,521855,0
"16",1960,"louisiana",230980,407339,169572
"17",1960,"maine",240608,181159,0
"18",1960,"maryland",489538,565808,3
"19",1960,"massachusetts",976750,1487174,5556
"20",1960,"michigan",1620428,1687269,10400
"21",1960,"minnesota",757915,779933,4039
"22",1960,"mississippi",73561,108362,116248
"23",1960,"missouri",962221,972201,0
"24",1960,"montana",141841,134891,847
"25",1960,"nebraska",380553,232542,0
"26",1960,"nevada",52387,54880,0
"27",1960,"new hampshire",157989,137772,0
"28",1960,"new jersey",1363324,1385415,24372
"29",1960,"new mexico",153733,156027,1347
"30",1960,"new york",3446419,3830085,14319
"31",1960,"north carolina",655420,713136,0
"32",1960,"north dakota",154310,123963,158
"33",1960,"ohio",2217611,1944248,0
"34",1960,"oklahoma",533039,370111,0
"35",1960,"oregon",408060,367402,959
"36",1960,"pennsylvania",2439956,2556282,10303
"37",1960,"rhode island",147502,258032,0
"38",1960,"south carolina",188558,198129,1
"39",1960,"south dakota",178417,128070,0
"40",1960,"tennessee",556577,481453,13746
"41",1960,"texas",1121310,1167567,22207
"42",1960,"utah",205362,169248,100
"43",1960,"vermont",98131,69186,7
"44",1960,"virginia",404521,362327,4601
"45",1960,"washington",629273,599298,13001
"46",1960,"west virginia",395995,441786,0
"47",1960,"wisconsin",895175,830805,3102
"48",1960,"wyoming",77451,63331,0
"49",1964,"alabama",479085,0,210733
"50",1964,"arizona",242535,237753,482
"51",1964,"arkansas",243264,314197,2965
"52",1964,"california",2879108,4171877,6601
"53",1964,"colorado",296767,476024,4194
"54",1964,"connecticut",390996,826269,1313
"55",1964,"delaware",78078,122704,538
"56",1964,"florida",905941,948540,0
"57",1964,"georgia",616584,522556,195
"58",1964,"idaho",143557,148920,0
"59",1964,"illinois",1905946,2796833,62
"60",1964,"indiana",911118,1170848,9640
"61",1964,"iowa",449148,733030,2361
"62",1964,"kansas",386579,464028,7294
"63",1964,"kentucky",372977,669659,3469
"64",1964,"louisiana",509225,387068,0
"65",1964,"maine",118701,262264,0
"66",1964,"maryland",385495,730912,50
"67",1964,"massachusetts",549727,1786422,8649
"68",1964,"michigan",1060152,2136615,6335
"69",1964,"minnesota",559624,991117,3721
"70",1964,"mississippi",356529,52619,0
"71",1964,"missouri",653535,1164344,0
"72",1964,"montana",113032,164246,1350
"73",1964,"nebraska",276847,307307,0
"74",1964,"nevada",56094,79339,0
"75",1964,"new hampshire",104029,182065,0
"76",1964,"new jersey",963843,1867671,15256
"77",1964,"new mexico",132838,194015,1760
"78",1964,"new york",2243559,4913156,9300
"79",1964,"north carolina",624844,800139,0
"80",1964,"north dakota",108207,149784,398
"81",1964,"ohio",1470865,2498331,0
"82",1964,"oklahoma",412665,519834,0
"83",1964,"oregon",282779,501017,2509
"84",1964,"pennsylvania",1673657,3130954,18079
"85",1964,"rhode island",74615,315463,0
"86",1964,"south carolina",309048,215699,8
"87",1964,"south dakota",130108,163010,0
"88",1964,"tennessee",508965,634947,0
"89",1964,"texas",958566,1663185,5060
"90",1964,"utah",181785,219628,0
"91",1964,"vermont",54942,108127,20
"92",1964,"virginia",481334,558038,2895
"93",1964,"washington",470366,779881,8309
"94",1964,"west virginia",253953,538087,0
"95",1964,"wisconsin",638495,1050424,2896
"96",1964,"wyoming",61998,80718,0
"97",1968,"alabama",146923,196579,706407
"98",1968,"arizona",266721,170514,49701
"99",1968,"arkansas",190759,188228,240982
"100",1968,"california",3467664,3244318,539605
"101",1968,"colorado",409345,335174,65732
"102",1968,"connecticut",556721,621561,77950
"103",1968,"delaware",96714,89194,28459
"104",1968,"florida",886804,676794,624207
"105",1968,"georgia",380111,334438,535715
"106",1968,"idaho",165369,89273,36541
"107",1968,"illinois",2174774,2039814,405161
"108",1968,"indiana",1067885,806659,249053
"109",1968,"iowa",619106,476699,72126
"110",1968,"kansas",478674,302996,91113
"111",1968,"kentucky",462411,397541,195941
"112",1968,"louisiana",257535,309615,530300
"113",1968,"maine",169254,217312,6370
"114",1968,"maryland",517995,538310,178734
"115",1968,"massachusetts",766844,1469218,95690
"116",1968,"michigan",1370665,1593082,342503
"117",1968,"minnesota",658643,857738,72125
"118",1968,"mississippi",88516,150644,415349
"119",1968,"missouri",811932,791444,206126
"120",1968,"montana",138835,114117,21452
"121",1968,"nebraska",321163,170784,44904
"122",1968,"nevada",73188,60598,20432
"123",1968,"new hampshire",154903,130589,11806
"124",1968,"new jersey",1325467,1264206,285722
"125",1968,"new mexico",169692,130081,27508
"126",1968,"new york",3007932,3378470,403664
"127",1968,"north carolina",627192,464113,496188
"128",1968,"north dakota",138669,94769,14444
"129",1968,"ohio",1791014,1700586,468098
"130",1968,"oklahoma",449697,301658,191731
"131",1968,"oregon",408433,358866,52323
"132",1968,"pennsylvania",2090017,2259405,398506
"133",1968,"rhode island",122359,246518,16123
"134",1968,"south carolina",254062,197486,215434
"135",1968,"south dakota",149841,118023,13400
"136",1968,"tennessee",472592,351233,424792
"137",1968,"texas",1227844,1266804,584568
"138",1968,"utah",238728,156665,27175
"139",1968,"vermont",85142,70255,6007
"140",1968,"virginia",590319,442387,328785
