"","newsid","paper","city","state"
"1",1,"Anchorage Daily News","Anchorage","AK"
"2",2,"Fairbanks Daily News-Miner","Fairbanks","AK"
"3",3,"Juneau Empire","Juneau","AK"
"4",4,"The Anniston Star","Anniston","AL"
"5",5,"The Birmingham News","Birmingham","AL"
"6",6,"The Times Journal","Fort Payne","AL"
"7",7,"The Huntsville Times","Huntsville","AL"
"8",8,"Mobile Register","Mobile","AL"
"9",9,"Montgomery Advertiser","Montgomery","AL"
"10",10,"The Daily Sentinel","Scottsboro","AL"
"11",11,"The Daily Home","Talladega","AL"
"12",12,"The Baxter Bulletin","Mountain Home","AR"
"13",13,"The Arizona Republic","Phoenix","AZ"
"14",14,"Arizona Daily Star","Tucson","AZ"
"15",15,"Tucson Citizen","Tucson","AZ"
"16",16,"The Bakersfield Californian","Bakersfield","CA"
"17",17,"Chico Enterprise-Record","Chico","CA"
"18",18,"San Gabriel Valley Tribune","Covina","CA"
"19",19,"The Davis Enterprise","Davis","CA"
"20",20,"Times-Standard","Eureka","CA"
"21",21,"The Argus","Fremont","CA"
"22",22,"The Fresno Bee","Fresno","CA"
"23",23,"The Hanford Sentinel","Hanford","CA"
"24",24,"The Daily Review","Hayward","CA"
"25",25,"Lake County Record-Bee","Lakeport","CA"
"26",26,"Lodi News-Sentinel","Lodi","CA"
"27",27,"Press-Telegram","Long Beach","CA"
"28",28,"Investor's Business Daily","Los Angeles","CA"
"29",29,"Los Angeles Times","Los Angeles","CA"
"30",30,"Madera Tribune","Madera","CA"
"31",31,"Merced Sun-Star","Merced","CA"
"32",32,"The Modesto Bee","Modesto","CA"
"33",33,"The Monterey County Herald","Monterey","CA"
"34",34,"Marin Independent Journal","Novato","CA"
"35",35,"The Oakland Tribune","Oakland","CA"
"36",36,"Inland Valley Daily Bulletin","Ontario","CA"
"37",37,"The Desert Sun","Palm Springs","CA"
"38",38,"Pasadena Star-News","Pasadena","CA"
"39",39,"Mountain Democrat","Placerville","CA"
"40",40,"Tri-Valley Herald","Pleasanton","CA"
"41",41,"Red Bluff Daily News","Red Bluff","CA"
"42",42,"Record Searchlight","Redding","CA"
"43",43,"Redlands Daily Facts","Redlands","CA"
"44",44,"The Press-Enterprise","Riverside","CA"
"45",45,"The Sacramento Bee","Sacramento","CA"
"46",46,"The Californian","Salinas","CA"
"47",47,"San Bernardino County Sun","San Bernardino","CA"
"48",48,"The San Diego Union-Tribune","San Diego","CA"
"49",49,"San Francisco Chronicle","San Francisco","CA"
"50",50,"The Tribune","San Luis Obispo","CA"
"51",51,"San Mateo County Times","San Mateo","CA"
"52",52,"The Orange County Register","Santa Ana","CA"
"53",53,"Santa Maria Times","Santa Maria","CA"
"54",54,"The Press Democrat","Santa Rosa","CA"
"55",55,"Daily Breeze","Torrance","CA"
"56",56,"Tulare Advance-Register","Tulare","CA"
"57",57,"Ukiah Daily Journal","Ukiah","CA"
"58",58,"The Reporter","Vacaville","CA"
"59",59,"Times-Herald","Vallejo","CA"
"60",60,"Ventura County Star","Ventura","CA"
"61",61,"Visalia Times-Delta","Visalia","CA"
"62",62,"The Whittier Daily News","Whittier","CA"
"63",63,"The Daily Democrat","Woodland","CA"
"64",64,"Daily News","Los Angeles","CA"
"65",65,"The Gazette","Colorado Springs","CO"
"66",66,"Denver Rocky Mountain News","Denver","CO"
"67",67,"The Denver Post","Denver","CO"
"68",68,"Fort Collins Coloradoan","Fort Collins","CO"
"69",69,"Fort Morgan Times","Fort Morgan","CO"
"70",70,"The Daily Sentinel","Grand Junction","CO"
"71",71,"The Lamar Daily News","Lamar","CO"
"72",72,"Journal-Advocate","Sterling","CO"
"73",73,"Connecticut Post","Bridgeport","CT"
"74",74,"The News-Times","Danbury","CT"
"75",75,"Greenwich Time","Greenwich","CT"
"76",76,"The Hartford Courant","Hartford","CT"
"77",77,"Journal Inquirer","Manchester","CT"
"78",78,"Record-Journal","Meriden","CT"
"79",79,"New Haven Register","New Haven","CT"
"80",80,"The Day","New London","CT"
"81",81,"Norwich Bulletin","Norwich","CT"
"82",82,"The Stamford Advocate","Stamford","CT"
"83",83,"Waterbury Republican-American","Waterbury","CT"
"84",84,"The Chronicle","Willimantic","CT"
"85",85,"The Washington Post","Washington","DC"
"86",86,"The Washington Times","Washington","DC"
"87",87,"The News Journal","Wilmington","DE"
"88",88,"Bradenton Herald","Bradenton","FL"
"89",89,"Daytona Beach News-Journal","Daytona Beach","FL"
"90",90,"Sun-Sentinel","Fort Lauderdale","FL"
"91",91,"The News-Press","Fort Myers","FL"
"92",92,"Northwest Florida Daily News","Fort Walton Beach","FL"
"93",93,"The Florida Times-Union","Jacksonville","FL"
"94",94,"Florida Today","Melbourne","FL"
"95",95,"The Miami Herald","Miami","FL"
"96",96,"Naples Daily News","Naples","FL"
"97",97,"Ocala Star-Banner","Ocala","FL"
"98",98,"Orlando Sentinel","Orlando","FL"
"99",99,"Palm Beach Daily News","Palm Beach","FL"
"100",100,"The News Herald","Panama City","FL"
"101",101,"Pensacola News Journal","Pensacola","FL"
"102",102,"Sun Herald","Port Charlotte","FL"
"103",103,"Sarasota Herald-Tribune","Sarasota","FL"
"104",104,"St. Petersburg Times","St. Petersburg","FL"
"105",105,"Tallahassee Democrat","Tallahassee","FL"
"106",106,"The Tampa Tribune","Tampa","FL"
"107",107,"The Palm Beach Post","West Palm Beach","FL"
"108",108,"Constitution","Atlanta","GA"
"109",109,"The Augusta Chronicle","Augusta","GA"
"110",110,"Columbus Ledger-Enquirer","Columbus","GA"
"111",111,"The Macon Telegraph","Macon","GA"
"112",112,"Savannah Morning News","Savannah","GA"
"113",113,"Honolulu Star-Bulletin","Honolulu","HI"
"114",114,"The Honolulu Advertiser","Honolulu","HI"
"115",115,"The Hawk Eye","Burlington","IA"
"116",116,"The Gazette","Cedar Rapids","IA"
"117",117,"The Des Moines Register","Des Moines","IA"
"118",118,"Telegraph Herald","Dubuque","IA"
"119",119,"Iowa City Press-Citizen","Iowa City","IA"
"120",120,"The Idaho Statesman","Boise","ID"
"121",121,"Coeur d'Alene Press","Coeur d'Alene","ID"
"122",122,"Lewiston Morning Tribune","Lewiston","ID"
"123",123,"The Times-News","Twin Falls","ID"
"124",124,"Daily Herald","Chicago","IL"
"125",125,"The Beacon News","Aurora","IL"
"126",126,"Belleville News-Democrat","Belleville","IL"
"127",127,"The Pantagraph","Bloomington","IL"
"128",128,"Southern Illinoisan","Carbondale","IL"
"129",129,"The News-Gazette","Champaign","IL"
"130",130,"Coles County Daily Times-Courier","Charleston","IL"
"131",131,"Chicago Defender","Chicago","IL"
"132",132,"Chicago Sun-Times","Chicago","IL"
"133",133,"Chicago Tribune","Chicago","IL"
"134",134,"Herald & Review","Decatur","IL"
"135",135,"Edwardsville Intelligencer","Edwardsville","IL"
"136",136,"The Courier News","Elgin","IL"
"137",137,"The Herald News","Joliet","IL"
"138",138,"The Courier","Lincoln","IL"
"139",139,"Mattoon Journal-Gazette","Mattoon","IL"
"140",140,"Journal Star","Peoria","IL"
"141",141,"Rockford Register Star","Rockford","IL"
"142",142,"The State Journal-Register","Springfield","IL"
"143",143,"The Taylorville Breeze-Courier","Taylorville","IL"
"144",144,"Daily Southtown","Chicago","IL"
"145",145,"The News Sun","Waukegan","IL"
"146",146,"Evansville Courier & Press","Evansville","IN"
"147",147,"The Journal Gazette","Fort Wayne","IN"
"148",148,"The News-Sentinel","Fort Wayne","IN"
"149",149,"Huntington Herald-Press","Huntington","IN"
"150",150,"The Indianapolis Star","Indianapolis","IN"
"151",151,"Journal and Courier","Lafayette","IN"
"152",152,"Chronicle-Tribune","Marion","IN"
"153",153,"Post-Tribune","Merrillville","IN"
"154",154,"The Star Press","Muncie","IN"
"155",155,"Palladium-Item","Richmond","IN"
"156",156,"South Bend Tribune","South Bend","IN"
"157",157,"Vincennes Sun-Commercial","Vincennes","IN"
"158",158,"The Chanute Tribune","Chanute","KS"
"159",159,"The Emporia Gazette","Emporia","KS"
"160",160,"The Hays Daily News","Hays","KS"
"161",161,"The Hutchinson News","Hutchinson","KS"
"162",162,"Southwest Daily Times","Liberal","KS"
"163",163,"The Manhattan Mercury","Manhattan","KS"
"164",164,"The Ottawa Herald","Ottawa","KS"
"165",165,"Parsons Sun","Parsons","KS"
"166",166,"The Salina Journal","Salina","KS"
"167",167,"The Topeka Capital-Journal","Topeka","KS"
"168",168,"The Wichita Eagle","Wichita","KS"
"169",169,"Daily News","Bowling Green","KY"
"170",170,"The Kentucky Post","Covington","KY"
"171",171,"Lexington Herald-Leader","Lexington","KY"
"172",172,"The Courier-Journal","Louisville","KY"
"173",173,"Owensboro Messenger-Inquirer","Owensboro","KY"
"174",174,"Alexandria Daily Town Talk","Alexandria","LA"
"175",175,"The Advocate","Baton Rouge","LA"
"176",176,"The Advertiser","Lafayette","LA"
"177",177,"The News-Star","Monroe","LA"
"178",178,"The Times-Picayune","New Orleans","LA"
"179",179,"The Daily World","Opelousas","LA"
"180",180,"The Times","Shreveport","LA"
"181",181,"Boston Herald","Boston","MA"
"182",182,"The Boston Globe","Boston","MA"
"183",183,"The Christian Science Monitor","Boston","MA"
"184",184,"Sentinel & Enterprise","Fitchburg","MA"
"185",185,"The Recorder","Greenfield","MA"
"186",186,"Cape Cod Times","Hyannis","MA"
"187",187,"The Sun","Lowell","MA"
"188",188,"North Adams Transcript","North Adams","MA"
