state,PollD,PollR
AL,34.45833333,57.08333333
AK,39.25,53
AZ,39.7826087,49.52173913
AR,38.07142857,51.28571429
CA,53.32258065,37.83870968
CO,48.26086957,44.63043478
CT,53.06666667,37.26666667
DE,55.22222222,39.44444444
FL,46.18309859,46.4084507
GA,43.1,51.3
HI,61.5,33.75
ID,31.71428571,60.57142857
IL,55.84615385,37.30769231
IN,44.83870968,47.90322581
IA,50.42424242,41.36363636
KS,37.83333333,53.88888889
KY,37.5,55.19230769
LA,39.30769231,52.53846154
ME,50.89473684,38.52631579
MD,54.14285714,39.28571429
MA,52.66666667,38.71428571
MI,47.46153846,42.20512821
MN,50.36734694,41.73469388
MS,40.3125,52
MO,45.7,47.475
MT,43.38888889,49.05555556
NE,35.66666667,54
NV,47.05555556,44.91666667
NH,49,42.97560976
NJ,49.94117647,39.97058824
NM,48.75,43.82142857
NY,52.57894737,36.97368421
NC,45.79591837,47.7755102
ND,42.33333333,47.66666667
OH,46.6875,45.05
OK,32.92307692,61.07692308
OR,50.70967742,40.87096774
PA,48.92105263,42.17105263
RI,53.77777778,32.77777778
SC,40.76923077,53.69230769
SD,39.8,51.3
TN,37,54.53846154
TX,40.16666667,51
UT,29.63636364,59.72727273
VT,58.375,35.75
VA,47.8852459,45.95081967
WA,51.55882353,40.58823529
WV,42.6,49.2
WI,49.8372093,42.06976744
WY,33.81818182,59.45454545
