"","cname","litdiff","p_polity2","pei_eir","wbgi_gee","wdi_birth","wdi_empagrf","wdi_empagrm","wdi_empch","wdi_expedu","wdi_fertility","wdi_gdpcapcon2010","wdi_poprul"
"1","Afghanistan",25.670238494873,-1,2.6666665,-1.3346105,33.2109985351562,66.2180023193359,38.3580017089844,NA,4.0588698387146,4.63299989700317,571.440673828125,74.75
"2","Albania",0.752494812011719,9,6.3281736,0.083774075,11.9340000152588,42.5419998168945,35.0620002746582,NA,3.61172008514404,1.63800001144409,4864.310546875,40.617000579834
"3","Algeria",12.0999908447266,2,3.9583333,-0.58915931,24.8460006713867,3.84100008010864,11.3599996566772,NA,NA,3.04500007629394,4792.38720703125,27.9479999542236
"4","Andorra",NA,NA,NA,1.9372821,7.19999980926514,NA,NA,NA,3.21708989143372,NA,44430.7421875,11.8500003814697
"5","Angola",26.5669403076172,-2,4.25,-1.0253128,41.2809982299805,56.9889984130859,44.1360015869141,NA,NA,5.59999990463257,3409.93041992188,35.1609992980957
"6","Antigua and Barbuda",-1.01999664306641,NA,5.5,0.0098630413,15.5299997329712,NA,NA,NA,NA,1.99899995326996,14220.501953125,75.2870025634766
"7","Azerbaijan",0.141754150390625,-7,2.5476191,-0.16825087,14.6000003814697,42.1809997558594,30.9120006561279,NA,2.4738199710846,1.75,5764.6923828125,44.6570014953613
"8","Argentina",-0.124305725097656,9,7.9209657,0.14954197,17.2049999237061,0.0149999996647239,0.090999998152256,NA,5.46223020553589,2.27500009536743,10419.455078125,8.25100040435791
"9","Australia",NA,10,8.7591915,1.535514,12.6000003814697,1.65100002288818,3.41000008583069,NA,5.12424993515015,1.74100005626678,56058.46484375,14.0959997177124
"10","Austria",NA,10,8.7093925,1.4612607,10,3.67899990081787,4.15100002288818,NA,5.35803985595703,1.51999998092651,49031.10546875,41.9059982299805
"11","Bahamas",NA,NA,6.6666665,0.57706231,14.0489997863769,0.349999994039536,3.94600009918213,NA,NA,1.76199996471405,28282.517578125,17.0750007629394
"12","Bahrain",4.05995941162109,-10,3.3499999,0.19392078,14.3649997711182,0.046000000089407,1.27499997615814,NA,2.32781004905701,2.00999999046326,22167.078125,10.8140001296997
"13","Bangladesh",5.61666107177734,1,3.0625,-0.73345035,18.5009994506836,59.8860015869141,32.5550003051758,NA,1.53553998470306,2.06200003623962,1127.27160644531,64.1419982910156
"14","Armenia",0.128334045410156,5,6.015873,-0.10438936,14.2980003356934,34.8549995422363,28.3099994659424,NA,2.70759010314941,1.75,4198.794921875,36.8969993591309
"15","Barbados",0,NA,7.145833,0.84239405,10.6829996109009,1.71800005435944,3.7720000743866,NA,4.36638021469116,1.61500000953674,16254.240234375,68.8410034179688
"16","Belgium",NA,8,8.666667,1.1816927,10.5,0.704999983310699,1.55200004577637,NA,6.41228008270264,1.64999997615814,46409.12890625,2.03900003433227
