"","ID","Severity","Start_Time","End_Time","Start_Lat","Start_Lng","End_Lat","End_Lng","Distance.mi.","Description","Number","Street","Side","City","County","State","Zipcode","Country","Timezone","Airport_Code","Weather_Timestamp","Temperature.F.","Wind_Chill.F.","Humidity...","Pressure.in.","Visibility.mi.","Wind_Direction","Wind_Speed.mph.","Precipitation.in.","Weather_Condition","Amenity","Bump","Crossing","Give_Way","Junction","No_Exit","Railway","Roundabout","Station","Stop","Traffic_Calming","Traffic_Signal","Turning_Loop","Sunrise_Sunset","Civil_Twilight","Nautical_Twilight","Astronomical_Twilight"
"31610","A-31610",2,"2016-11-30 17:12:20","2016-11-30 23:12:20",43.039261,-76.14213,43.04273,-76.14244,0.24,"At Adams St/Exit 18 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2016-11-30 16:54:00",53.1,NA,80,29.63,10,"ESE",10.4,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"31643","A-31643",2,"2016-11-30 18:03:31","2016-12-01 00:03:31",43.05166,-76.1369,43.05265,-76.1499,0.66,"At I-81 - Accident.",NA,"I-690 W","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-11-30 17:54:00",52,NA,83,29.61,10,"East",10.4,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"32533","A-32533",4,"2016-12-03 01:40:47","2016-12-03 07:40:47",43.11165,-76.28492,43.11032,-76.26252,1.134,"Closed between Jones Rd/Exit 2 and John Glenn Blvd/Exit 4 - Road closed due to accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13209","US","US/Eastern","KSYR","2016-12-03 01:54:00",36,29,89,29.96,10,"West",9.2,0.01,"Light Rain","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"32993","A-32993",2,"2016-12-05 16:48:55","2016-12-05 22:48:55",43.0482,-76.14272,43.0397,-76.14233,0.588,"Between Harrison St/Exit 18 and Adams St/Exit 18 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-12-05 16:54:00",39.9,33.4,68,29.99,10,"West",10.4,NA,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Day","Day","Day"
"33111","A-33111",2,"2016-12-06 00:49:44","2016-12-06 06:49:44",43.05126,-76.1488,43.05146,-76.13657,0.618,"At I-81 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-12-06 00:54:00",37,31,79,30.09,10,"West",8.1,0,"Light Rain","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"33702","A-33702",2,"2016-12-07 08:57:24","2016-12-07 14:57:24",43.05308,-76.15112,43.04898,-76.14299,0.499,"At I-690 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13203","US","US/Eastern","KSYR","2016-12-07 08:54:00",39,31.8,89,29.92,10,"WSW",11.5,0,"Overcast","False","False","False","False","True","False","False","False","False","False","False","False","False","Day","Day","Day","Day"
"33893","A-33893",2,"2016-12-07 18:04:25","2016-12-08 00:04:25",43.05232,-76.1252,43.0542,-76.11806,0.383,"At Teall Ave/Exit 14 - Accident.",NA,"I-690 E","R","Syracuse","Onondaga","NY","13210","US","US/Eastern","KSYR","2016-12-07 17:54:00",37,31.6,73,29.99,10,"SSW",6.9,NA,"Mostly Cloudy","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"34573","A-34573",2,"2016-12-09 17:19:00","2016-12-09 23:19:00",43.11222,-76.14521,43.10627,-76.15147,0.518,"At US-11/Exit 26 - Accident.",NA,"I-81 S","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-12-09 17:14:00",24.1,14.4,96,30.25,1.2,"West",9.2,0.01,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"34633","A-34633",2,"2016-12-09 19:09:40","2016-12-10 01:09:40",43.05815,-76.18181,43.05996,-76.18618,0.254,"At Hiawatha Blvd/Exit 8 - Accident.",NA,"Hiawatha Blvd W","R","Syracuse","Onondaga","NY","13204","US","US/Eastern","KSYR","2016-12-09 18:57:00",24.1,13.7,91,30.25,1.5,"West",10.4,0,"Light Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"35744","A-35744",2,"2016-12-13 17:31:52","2016-12-13 23:31:52",43.137395,-76.116835,43.14572,-76.10985,0.674,"At RT-481/Exit 29 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-12-13 17:54:00",32,22.5,75,29.98,4,"SSW",12.7,0,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Day","Day"
"36605","A-36605",2,"2016-12-15 12:47:18","2016-12-15 18:47:18",43.04273,-76.14257,43.0397,-76.14233,0.21,"At Adams St/Exit 18 - Accident.",677," E Adams St","L","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-12-15 12:54:00",14,-5.8,74,29.88,3,"WSW",26.5,0,"Blowing Snow","False","False","False","False","False","False","False","False","False","False","False","True","False","Day","Day","Day","Day"
"36737","A-36737",4,"2016-12-15 18:07:23","2016-12-16 00:07:23",43.052609,-76.150513,43.05628,-76.15342,0.293,"Closed between I-690 and Clinton St/Salina St/Exit 19 - Road closed due to accident.",NA,"E Willow St","R","Syracuse","Onondaga","NY","13202","US","US/Eastern","KSYR","2016-12-15 17:54:00",15.1,-4,95,29.98,0.5,"West",25.3,0.03,"Snow","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
"36750","A-36750",2,"2016-12-15 18:40:23","2016-12-16 00:40:23",43.00344,-76.13372,43.00893,-76.1353,0.388,"At I-481/Exit 16 - Accident.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13205","US","US/Eastern","KSYR","2016-12-15 18:44:00",15.1,-1.6,91,30,1.5,"West",18.4,0.01,"Light Snow","False","False","False","False","True","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"37603","A-37603",2,"2016-12-19 04:07:30","2016-12-19 10:07:30",43.1061,-76.15135,43.14751,-76.10979,3.547,"Between US-11/Exit 26 and RT-481/Exit 29 - Overturned vehicle.",NA,"I-81 N","R","Syracuse","Onondaga","NY","13212","US","US/Eastern","KSYR","2016-12-19 03:54:00",12.9,2.6,62,30.64,10,"NNE",6.9,NA,"Overcast","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Night"
"37975","A-37975",2,"2016-12-19 18:04:20","2016-12-20 00:04:20",43.03418,-76.06295,43.03235,-76.05545,0.399,"At I-481 - Accident.",4703," E Genesee St","L","Syracuse","Onondaga","NY","13214","US","US/Eastern","KSYR","2016-12-19 17:54:00",16,8.8,71,30.66,10,"East",4.6,NA,"Scattered Clouds","False","False","False","False","False","False","False","False","False","False","False","False","False","Night","Night","Night","Day"
